BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.6122,-122.33799,1927,0.6931471805599453,2.5649493574615367,11.390023097868895,0.0,11.390023097868895,342.9115858669041,11.390023097868895,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.61317,-122.33393,1996,0.6931471805599453,2.4849066497880004,11.547974025246633,9.620129451564402,11.39079172872657,342.9115858669041,11.33715440673783,202.8707509742046,9.620129451564402,228.73680818511332,8.438799123988225
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.61393,-122.3381,1969,0.6931471805599453,3.7376696182833684,13.770629294080045,12.189531593509932,13.540274708933826,342.9115858669041,13.536449880916702,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.61412,-122.33664,1926,0.6931471805599453,2.3978952727983707,11.023877640745798,0.0,11.023877640745798,342.9115858669041,11.023877640745798,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98121.0,7,206.66887803672964,47.61375,-122.34047,1980,0.6931471805599453,2.9444389791664403,12.075855753873482,11.034905792929415,11.640271517759631,342.9115858669041,11.723559092466278,202.8707509742046,11.127410032169685,328.0275514057199,0.0
139.0516559611366,181.01827299780848,98101.0,7,206.66887803672964,47.61623,-122.33657,1999,0.6931471805599453,1.0986122886681098,11.48544120936798,10.524037158179487,11.003615358893612,301.81,11.394490967158449,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.6139,-122.33283,1926,0.6931471805599453,2.4849066497880004,11.326704314635162,0.0,11.326704314635162,342.9115858669041,11.306552989656216,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,181.01827299780848,98101.0,7,206.66887803672964,47.61327,-122.33136,1926,0.6931471805599453,2.1972245773362196,11.540170913860424,0.0,11.540170913860424,276.6783441673539,11.540170913860424,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98104.0,7,206.66887803672964,47.60294,-122.33263,1904,0.6931471805599453,2.772588722239781,12.007530239208668,0.0,12.007530239208668,342.9115858669041,12.007530239208668,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.60695,-122.33414,1969,0.6931471805599453,2.4849066497880004,11.9392645217297,9.866823568164536,11.804736501505687,342.9115858669041,11.804736501505687,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.60713,-122.33323,1998,0.6931471805599453,3.258096538021482,12.716429159281265,11.021281360620167,12.51361616707751,342.9115858669041,12.726772359619336,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98104.0,7,206.66887803672964,47.60699,-122.33346,1928,0.6931471805599453,2.302585092994046,11.082296383198514,0.0,11.082296383198514,342.9115858669041,11.082296383198514,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.60809,-122.33212,1980,0.6931471805599453,3.5263605246161616,12.66334874732981,10.961295207644392,12.462082145801965,342.9115858669041,12.596464724140818,202.8707509742046,10.961295207644392,119.90633319029516,0.0
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.60755,-122.33244,1922,0.6931471805599453,2.4849066497880004,11.431617790897278,10.134638955251866,11.112313560992032,342.9115858669041,11.11826675682705,202.8707509742046,10.134638955251866,119.90633319029516,0.0
139.0516559611366,181.01827299780848,98154.0,7,206.66887803672964,47.60649,-122.33297,2004,0.6931471805599453,2.4849066497880004,12.928781055513184,10.950824090522445,12.779875885354993,70.14069240677209,12.80741698836436,202.8707509742046,10.799595985047786,148.54036588128974,6.980075940561763
132.61642484502008,181.01827299780848,98104.0,7,206.66887803672964,47.60546,-122.33279,1930,0.6931471805599453,1.9459101490553132,11.55129966608712,0.0,11.55129966608712,182.91425609708475,11.407576060361786,103.21151591252422,10.596659732783579,328.0275514057199,0.0
132.61642484502008,344.334529786547,98104.0,7,206.66887803672964,47.60681,-122.33078,1983,0.6931471805599453,3.367295829986474,12.939118194198793,11.350418300109132,12.71072525539031,342.9115858669041,12.760905585289162,202.8707509742046,11.350418300109132,119.90633319029516,0.0
132.61642484502008,157.10717593809957,98104.0,7,206.66887803672964,47.60515,-122.33159,1907,0.6931471805599453,1.791759469228055,10.95872250123467,0.0,10.95872250123467,89.6130138196825,9.707655133714226,158.35533606764756,9.648982324778904,163.28419300137554,9.184201714366488
132.61642484502008,344.334529786547,98104.0,7,206.66887803672964,47.60376,-122.33194,1916,0.6931471805599453,2.3978952727983707,11.555534661493144,0.0,11.555534661493144,342.9115858669041,11.555534661493144,114.00647416724244,0.0,119.90633319029516,0.0
132.61642484502008,181.01827299780848,98104.0,7,206.66887803672964,47.60265,-122.33051,1916,0.6931471805599453,2.3978952727983707,13.199992713700011,0.0,13.199992713700011,1265.29,13.194034525770327,114.00647416724244,0.0,119.90633319029516,0.0
