BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,source_energy_surface,energy_surface,vapeur_surface,electricity_surface,gaz_surface,emissions_surface,source_energy_epoque,energy_epoque,electricity_epoque,gaz_epoque,emissions_epoque,source_energy_type,energy_type,electricity_type,gaz_type,emissions_type
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.6122,-122.33799,1927,0.6931471805599453,2.5649493574615367,11.390023097868895,0.0,11.390023097868895,342.9115858669041,11.390023097868895,114.00647416724244,0.0,119.90633319029516,0.0,5.212214667494625,15.793246493880627,14.510597356248992,15.18822006133273,14.059596478978326,5.525373254682162,4.837075261210366,14.667806300960434,13.786283580662744,12.81580968413531,4.020159664032724,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.61317,-122.33393,1996,0.6931471805599453,2.4849066497880004,11.547974025246633,9.620129451564402,11.39079172872657,342.9115858669041,11.33715440673783,202.8707509742046,9.620129451564402,228.73680818511332,8.438799123988225,5.176714579232605,15.942304802589588,0.0,14.991963747491976,15.453552059287318,5.6932606471966185,5.367843436192915,15.682288364599733,15.263006786027276,14.35642047694415,4.759820740857001,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.61393,-122.3381,1969,0.6931471805599453,3.7376696182833684,13.770629294080045,12.189531593509932,13.540274708933826,342.9115858669041,13.536449880916702,114.00647416724244,0.0,119.90633319029516,0.0,5.492649810894911,18.100296744814614,0.0,17.71802176936792,14.216834436338539,7.6450533072773705,4.9760438072286375,14.755308028826859,14.086287032674463,13.49032735968776,3.911822985425479,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.61412,-122.33664,1926,0.6931471805599453,2.3978952727983707,11.023877640745798,0.0,11.023877640745798,342.9115858669041,11.023877640745798,114.00647416724244,0.0,119.90633319029516,0.0,5.38081857378722,15.731636529382916,14.610513381786225,14.833969716195812,14.409507896643106,5.660979352330892,4.939497244072508,14.927432873914384,14.4640583059598,13.187216224136433,4.256038151220088,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
132.61642484502008,344.334529786547,98121.0,7,206.66887803672964,47.61375,-122.34047,1980,0.6931471805599453,2.9444389791664403,12.075855753873482,11.034905792929415,11.640271517759631,342.9115858669041,11.723559092466278,202.8707509742046,11.127410032169685,328.0275514057199,0.0,5.358471260648386,16.466821574984518,0.0,15.496079215005192,15.99071660804375,6.226556431938032,5.13167230744978,14.838704914291238,14.723476333348396,13.187377410468182,3.9265174515785985,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
139.0516559611366,181.01827299780848,98101.0,7,206.66887803672964,47.61623,-122.33657,1999,0.6931471805599453,1.0986122886681098,11.48544120936798,10.524037158179487,11.003615358893612,301.81,11.394490967158449,114.00647416724244,0.0,119.90633319029516,0.0,5.759847660139732,16.307609365403174,0.0,15.81312295348912,15.366298285597683,5.713105546117053,5.149527284259654,15.782907349739176,15.68913154137253,13.610171929077644,4.612046489927524,5.168493387251545,15.011115852115218,14.43543387543088,13.474430521720944,4.295583278148261
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.6139,-122.33283,1926,0.6931471805599453,2.4849066497880004,11.326704314635162,0.0,11.326704314635162,342.9115858669041,11.306552989656216,114.00647416724244,0.0,119.90633319029516,0.0,4.994505953494285,15.566238983044945,0.0,14.84912768791841,14.8964953919321,5.176940380381437,4.939497244072508,14.927432873914384,14.4640583059598,13.187216224136433,4.256038151220088,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
132.61642484502008,181.01827299780848,98101.0,7,206.66887803672964,47.61327,-122.33136,1926,0.6931471805599453,2.1972245773362196,11.540170913860424,0.0,11.540170913860424,276.6783441673539,11.540170913860424,114.00647416724244,0.0,119.90633319029516,0.0,4.960744502758894,15.6557637188467,14.638056384352833,15.106575136047933,12.861491998029148,5.404972044416576,4.939497244072508,14.927432873914384,14.4640583059598,13.187216224136433,4.256038151220088,5.168493387251545,15.011115852115218,14.43543387543088,13.474430521720944,4.295583278148261
132.61642484502008,344.334529786547,98104.0,7,206.66887803672964,47.60294,-122.33263,1904,0.6931471805599453,2.772588722239781,12.007530239208668,0.0,12.007530239208668,342.9115858669041,12.007530239208668,114.00647416724244,0.0,119.90633319029516,0.0,5.203457051989167,16.434643640030767,0.0,15.803099934011076,15.6758474123768,5.974216653698429,4.824305715904762,14.503287343734216,14.245351480520098,12.387068323735456,3.3648791189880436,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
132.61642484502008,344.334529786547,98101.0,7,206.66887803672964,47.60695,-122.33414,1969,0.6931471805599453,2.4849066497880004,11.9392645217297,9.866823568164536,11.804736501505687,342.9115858669041,11.804736501505687,114.00647416724244,0.0,119.90633319029516,0.0,5.434594971315279,16.589139051954007,15.471291165767504,15.638062372513799,15.33979376871991,6.539961607594982,4.9760438072286375,14.755308028826859,14.086287032674463,13.49032735968776,3.911822985425479,5.127529036374398,15.664266270475936,14.992125474758028,14.76285373332386,5.323522043133211
